iter	MultiClass
0	1.093322479
1	1.087193353
2	1.082008192
3	1.076768344
4	1.073088842
5	1.067018776
6	1.061574619
7	1.057346158
8	1.05247712
9	1.048507534
10	1.044128694
11	1.039420518
12	1.036058489
13	1.032587454
14	1.028580464
15	1.02530705
16	1.022598981
17	1.019148806
18	1.015857348
19	1.012136083
20	1.008419182
21	1.005211199
22	1.001897179
23	0.9994311744
24	0.9961105608
25	0.9930800489
26	0.9905767462
27	0.9881026592
28	0.9851282527
29	0.9823826575
30	0.9804801995
31	0.9781088802
32	0.9759301862
33	0.9734812632
34	0.9715691817
35	0.9696098744
36	0.9681237901
37	0.9655971935
38	0.9636444649
39	0.9614343537
40	0.9603471571
41	0.9589924378
42	0.9575550836
43	0.9558039698
44	0.9538852577
45	0.9519532109
46	0.9499015801
47	0.9486207613
48	0.9468385256
49	0.9453190306
