iter	Passed	Remaining
0	42	2078
1	84	2024
2	103	1615
3	128	1482
4	142	1286
5	168	1235
6	190	1168
7	216	1137
8	243	1109
9	260	1042
10	288	1024
11	315	1000
12	342	973
13	368	946
14	402	939
15	436	927
16	459	891
17	476	847
18	504	823
19	530	796
20	557	769
21	582	741
22	610	716
23	636	689
24	662	662
25	688	635
26	714	608
27	740	581
28	765	554
29	787	524
30	808	495
31	833	468
32	855	440
33	883	415
34	915	392
35	944	367
36	973	342
37	999	315
38	1029	290
39	1050	262
40	1064	233
41	1079	205
42	1098	178
43	1115	152
44	1132	125
45	1150	100
46	1168	74
47	1186	49
48	1204	24
49	1221	0
